hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,2,2015,November,45,4,0,4,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,,0,Transient,63.75,0,0,Check-Out,2015-11-08
City Hotel,1,82,2017,May,18,3,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,,0,Transient,130,0,0,Canceled,2017-02-10
City Hotel,0,57,2016,December,49,1,0,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,79.2,0,2,Check-Out,2016-12-02
City Hotel,1,26,2015,October,41,4,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,,0,Transient,79.85,0,1,Canceled,2015-09-18
City Hotel,0,183,2016,September,37,8,0,3,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,44,,0,Transient-Party,100,0,0,Check-Out,2016-09-11
City Hotel,0,91,2016,September,40,30,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,0,Transient-Party,80,0,0,Check-Out,2016-10-03
City Hotel,0,462,2017,July,26,1,2,1,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,229,,0,Transient-Party,0,0,0,Check-Out,2017-07-04
City Hotel,0,19,2016,November,46,6,2,3,1,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,132.89,0,1,Check-Out,2016-11-11
City Hotel,0,256,2016,October,43,20,0,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,96.3,0,3,Check-Out,2016-10-23
City Hotel,1,14,2017,August,32,7,1,4,2,0,0,BB,CHE,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,170,0,0,Canceled,2017-07-25
City Hotel,0,9,2017,April,16,16,4,9,1,0,0,BB,LKA,Aviation,Corporate,0,0,0,D,D,1,No Deposit,94.13830565,153,0,Transient,119,0,0,Check-Out,2017-04-29
City Hotel,0,278,2016,July,30,23,2,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,,0,Contract,139.9,2,2,Check-Out,2016-07-26
City Hotel,1,105,2017,April,18,30,2,0,1,0,0,SC,PHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,103.5,0,0,Canceled,2017-04-24
City Hotel,1,1,2015,October,42,13,0,1,1,0,0,BB,PRT,Complementary,Direct,0,0,0,A,A,0,No Deposit,94.13830565,,0,Transient,0,0,1,Canceled,2015-10-13
City Hotel,0,24,2017,July,28,11,0,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,135.67,0,0,Check-Out,2017-07-14
City Hotel,1,168,2017,August,32,6,4,10,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,119.83,0,1,Canceled,2017-02-21
City Hotel,0,71,2016,March,12,17,1,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,88.83,0,1,Check-Out,2016-03-21
City Hotel,0,2,2017,February,6,8,2,5,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,57.6,0,1,Check-Out,2017-02-15
City Hotel,0,2,2016,March,13,23,0,2,3,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,169,0,3,Check-Out,2016-03-25
City Hotel,0,9,2017,January,2,9,1,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,60.63,0,1,Check-Out,2017-01-15
City Hotel,0,4,2016,May,21,16,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,1,No Deposit,94.13830565,221,0,Transient,95,0,0,Check-Out,2016-05-18
City Hotel,0,123,2016,April,17,21,1,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,93.08,0,0,Check-Out,2016-04-25
City Hotel,1,56,2017,July,28,11,0,1,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,140,0,2,Canceled,2017-05-17
City Hotel,1,45,2017,July,31,31,1,4,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,198,0,2,Canceled,2017-06-16
City Hotel,0,8,2015,October,43,22,2,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,14,,0,Transient,96.9,0,0,Check-Out,2015-10-27
City Hotel,0,7,2015,September,38,19,2,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,126,0,1,Check-Out,2015-09-23
City Hotel,0,67,2016,April,18,24,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Transient-Party,99.45,0,1,Check-Out,2016-04-28
City Hotel,0,13,2015,December,50,6,2,0,2,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,28,,0,Transient,64,0,1,Check-Out,2015-12-08
City Hotel,0,8,2016,November,48,23,0,1,1,0,0,BB,GBR,Online TA,GDS,0,0,0,A,A,0,No Deposit,195,,0,Transient,94,0,0,Check-Out,2016-11-24
City Hotel,1,174,2017,March,10,5,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,94.13830565,,0,Transient-Party,90,0,1,Canceled,2017-03-03
City Hotel,0,36,2016,December,50,6,0,3,2,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,22,,0,Transient,85.05,0,0,Check-Out,2016-12-09
City Hotel,1,29,2016,May,19,6,2,2,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,162.01,0,0,Canceled,2016-04-18
City Hotel,1,87,2017,August,31,1,0,3,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,125,0,1,Canceled,2017-07-14
City Hotel,0,0,2016,November,47,17,4,8,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,94.13830565,,0,Transient,79,0,0,Check-Out,2016-11-29
City Hotel,0,10,2015,September,36,5,2,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,,0,Contract,122,0,2,Check-Out,2015-09-10
