Hotel,Booking_status,Lead Time,Arrival_Year,Arrival_Month,Weekend_Nights,Week_Nights,Adults,Children,Babies,Meal_Plan,Guest_Country,Market_Segment,City Hotel,City Hotel,Previous_Cancellations,Prior_Successful Stays,Reserved_Room_Type,Assigned_Room_Type,Booking_Changes,Deposit_Policy,Agent_ID,Days_on_Waitlist,Customer_Type,Average_Daily_Rate (USD),Special_Requests_Count,Reservation_Status,Status_Date,Total_Guests,Total_Nights,Total_Revenue (USD),Total_Revenue (INR)
City Hotel,NO,2,2015,November,0,4,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,0,Transient,64,0,Check-Out,2015-11-08,1,4,255,23129
City Hotel,YES,82,2017,May,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29,0,Transient,130,0,Canceled,2017-02-10,2,2,260,23582
City Hotel,NO,57,2016,December,0,1,2,0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,79,2,Check-Out,2016-12-02,2,1,79,7183
City Hotel,YES,26,2015,October,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,0,Transient,80,1,Canceled,2015-09-18,2,5,399,36212
City Hotel,NO,183,2016,September,0,3,1,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,44,0,Transient-Party,100,0,Check-Out,2016-09-11,1,3,300,27210
City Hotel,NO,91,2016,September,1,2,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,0,Transient-Party,80,0,Check-Out,2016-10-03,2,3,240,21768
City Hotel,NO,19,2016,November,2,3,1,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,133,1,Check-Out,2016-11-11,1,5,664,60266
City Hotel,NO,256,2016,October,0,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient-Party,96,3,Check-Out,2016-10-23,2,3,289,26203
City Hotel,YES,14,2017,August,1,4,2,0,0,BB,CHE,Direct,Direct,0,0,0,A,A,1,No Deposit,14,0,Transient,170,0,Canceled,2017-07-25,2,5,850,77095
City Hotel,NO,9,2017,April,4,9,1,0,0,BB,LKA,Aviation,Corporate,0,0,0,D,D,1,No Deposit,94,0,Transient,119,0,Check-Out,2017-04-29,1,13,1547,140313
City Hotel,NO,278,2016,July,2,1,2,1,0,BB,BEL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9,0,Contract,140,2,Check-Out,2016-07-26,3,3,420,38067
City Hotel,YES,105,2017,April,2,0,1,0,0,SC,PHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,104,0,Canceled,2017-04-24,1,2,207,18775
City Hotel,NO,24,2017,July,0,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,136,0,Check-Out,2017-07-14,2,3,407,36916
City Hotel,YES,168,2017,August,4,10,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,120,1,Canceled,2017-02-21,1,14,1678,152160
City Hotel,NO,71,2016,March,1,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,89,1,Check-Out,2016-03-21,1,4,355,32228
City Hotel,NO,2,2017,February,2,5,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,58,1,Check-Out,2017-02-15,2,7,403,36570
City Hotel,NO,2,2016,March,0,2,3,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,0,Transient,169,3,Check-Out,2016-03-25,3,2,338,30657
City Hotel,NO,9,2017,January,1,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,0,Transient,61,1,Check-Out,2017-01-15,2,6,364,32995
City Hotel,NO,4,2016,May,1,1,1,0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,1,No Deposit,94,0,Transient,95,0,Check-Out,2016-05-18,1,2,190,17233
City Hotel,NO,123,2016,April,1,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,93,0,Check-Out,2016-04-25,2,4,372,33769
City Hotel,YES,56,2017,July,0,1,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,140,2,Canceled,2017-05-17,2,1,140,12698
City Hotel,YES,45,2017,July,1,4,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,198,2,Canceled,2017-06-16,2,5,990,89793
City Hotel,NO,8,2015,October,2,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,1,No Deposit,14,0,Transient,97,0,Check-Out,2015-10-27,2,5,485,43944
City Hotel,NO,7,2015,September,2,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,126,1,Check-Out,2015-09-23,2,4,504,45713
City Hotel,NO,67,2016,April,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient-Party,99,1,Check-Out,2016-04-28,2,4,398,36080
City Hotel,NO,13,2015,December,2,0,2,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,28,0,Transient,64,1,Check-Out,2015-12-08,3,2,128,11610
City Hotel,NO,8,2016,November,0,1,1,0,0,BB,GBR,Online TA,GDS,0,0,0,A,A,0,No Deposit,195,0,Transient,94,0,Check-Out,2016-11-24,1,1,94,8526
City Hotel,YES,174,2017,March,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,94,0,Transient-Party,90,1,Canceled,2017-03-03,2,4,360,32652
City Hotel,NO,36,2016,December,0,3,2,1,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,22,0,Transient,85,0,Check-Out,2016-12-09,3,3,255,23142
City Hotel,YES,29,2016,May,2,2,2,1,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,162,0,Canceled,2016-04-18,3,4,648,58777
City Hotel,YES,87,2017,August,0,3,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,0,Transient,125,1,Canceled,2017-07-14,2,3,375,34013
City Hotel,NO,0,2016,November,4,8,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,4,No Deposit,94,0,Transient,79,0,Check-Out,2016-11-29,1,12,948,85984
City Hotel,NO,10,2015,September,2,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Contract,122,2,Check-Out,2015-09-10,2,5,610,55327
City Hotel,NO,19,2017,January,2,3,2,1,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,0,Transient,83,1,Check-Out,2017-01-26,3,5,414,37586
